image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img1002,0.0,0.0,0.0,0.0,0,1,0,RGB-origin
img1006,1.0,0.7142857142857143,0.8333333333333333,0.8738393978140633,15,0,6,RGB-origin
img1007,0.9666666666666667,0.8529411764705882,0.90625,0.8259279149674953,29,1,5,RGB-origin
img1015,0.9444444444444444,0.8292682926829268,0.883116883116883,0.813303133248947,34,2,7,RGB-origin
img1016,0.9318181818181818,0.9534883720930233,0.942528735632184,0.8386365720897752,41,3,2,RGB-origin
img1025,0.6470588235294118,0.3793103448275862,0.4782608695652174,0.8748118947124808,11,6,18,RGB-origin
img1038,0.0,0.0,0.0,0.0,0,2,3,RGB-origin
img1041,0.95,0.9743589743589743,0.9620253164556962,0.8605573079375081,38,2,1,RGB-origin
img1042,0.9743589743589743,0.8444444444444444,0.9047619047619048,0.8729567963538671,38,1,7,RGB-origin
img1051,1.0,0.9047619047619048,0.9500000000000001,0.8755933562622065,19,0,2,RGB-origin
img1061,0.8051948051948052,0.775,0.7898089171974523,0.8466421601136968,62,15,18,RGB-origin
img1062,0.9354838709677419,0.8285714285714286,0.8787878787878788,0.8573131271831225,58,4,12,RGB-origin
img107,0.9047619047619048,0.95,0.9268292682926829,0.8942050405846764,19,2,1,RGB-origin
img1075,0.875,0.875,0.875,0.8442806149585946,35,5,5,RGB-origin
img1082,0.9393939393939394,0.9117647058823529,0.9253731343283583,0.8345558253005689,62,4,6,RGB-origin
img1086,0.9714285714285714,0.9444444444444444,0.9577464788732395,0.8741426707822234,34,1,2,RGB-origin
img1090,0.7619047619047619,0.7272727272727273,0.7441860465116279,0.7877874038945474,16,5,6,RGB-origin
img1097,0.9347826086956522,0.9148936170212766,0.924731182795699,0.852579783664535,43,3,4,RGB-origin
img1098,0.9591836734693877,0.9215686274509803,0.9400000000000001,0.8727402298587825,47,2,4,RGB-origin
img1103,0.5714285714285714,1.0,0.7272727272727273,0.8512984387246396,4,3,0,RGB-origin
img1104,0.9,0.9,0.9,0.813212011327731,9,1,1,RGB-origin
img1105,0.9830508474576272,0.90625,0.943089430894309,0.8469871048233166,58,1,6,RGB-origin
img1107,1.0,1.0,1.0,0.831612515571287,55,0,0,RGB-origin
img1111,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8475055712340088,15,3,3,RGB-origin
img1115,0.8571428571428571,0.631578947368421,0.7272727272727273,0.839575868281643,12,2,7,RGB-origin
img1117,0.7857142857142857,0.673469387755102,0.7252747252747253,0.8083106093316337,33,9,16,RGB-origin
img1118,0.9487179487179487,0.8043478260869565,0.8705882352941177,0.8004430767417251,37,2,9,RGB-origin
img1119,0.75,0.6923076923076923,0.7199999999999999,0.8320077872408288,36,12,16,RGB-origin
img1124,0.9423076923076923,0.9245283018867925,0.9333333333333333,0.8541659055141527,49,3,4,RGB-origin
img1126,0.9454545454545454,0.8387096774193549,0.8888888888888888,0.8590437804239488,52,3,10,RGB-origin
img1127,0.9,0.8307692307692308,0.8640000000000001,0.8250094625820593,54,6,11,RGB-origin
img1129,0.8571428571428571,0.72,0.782608695652174,0.8659119600096954,18,3,7,RGB-origin
img113,1.0,0.9615384615384616,0.9803921568627451,0.8671871784697548,50,0,2,RGB-origin
img1131,0.0,0.0,0.0,0.0,0,0,1,RGB-origin
img1134,0.9074074074074074,0.8448275862068966,0.875,0.8496768234963815,49,5,9,RGB-origin
img1149,0.8378378378378378,0.8611111111111112,0.8493150684931507,0.8443080963792837,31,6,5,RGB-origin
img1176,0.7692307692307693,0.9090909090909091,0.8333333333333333,0.8575635216399806,10,3,1,RGB-origin
img1179,0.625,0.6818181818181818,0.6521739130434783,0.8439929928744117,15,9,7,RGB-origin
img118,0.92,0.8846153846153846,0.9019607843137256,0.8300935334325921,23,2,3,RGB-origin
img1210,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8627203378615729,39,3,3,RGB-origin
img1211,0.9705882352941176,0.8048780487804879,0.8800000000000001,0.8823285297491256,33,1,8,RGB-origin
img1215,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.7525853351922354,25,3,5,RGB-origin
img1223,0.9230769230769231,0.8695652173913043,0.8955223880597014,0.8506654942947982,60,5,9,RGB-origin
img1225,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.8326260391494492,50,3,3,RGB-origin
img1227,0.88,0.8461538461538461,0.8627450980392156,0.8241567558993215,22,3,4,RGB-origin
img1240,0.9,0.75,0.8181818181818182,0.83553538431052,9,1,3,RGB-origin
img1250,0.6851851851851852,0.6727272727272727,0.6788990825688074,0.850707714066633,37,17,18,RGB-origin
img1255,0.8780487804878049,0.7659574468085106,0.8181818181818182,0.8820663781515196,36,5,11,RGB-origin
img1258,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8752213253595248,22,2,4,RGB-origin
img1259,0.0,0.0,0.0,0.0,0,0,2,RGB-origin
img1283,0.96875,0.9253731343283582,0.9465648854961832,0.8509335564364057,62,2,5,RGB-origin
img1284,0.9512195121951219,0.9069767441860465,0.9285714285714286,0.839883104513558,39,2,4,RGB-origin
img13,0.8148148148148148,0.7096774193548387,0.7586206896551724,0.8054192114019656,22,5,9,RGB-origin
img1300,0.9,0.8709677419354839,0.8852459016393444,0.827780639922035,27,3,4,RGB-origin
img1301,0.8837209302325582,0.7450980392156863,0.8085106382978724,0.7842180746917617,38,5,13,RGB-origin
img1305,0.8181818181818182,0.75,0.7826086956521738,0.8076841970522035,9,2,3,RGB-origin
img1316,0.9795918367346939,0.8421052631578947,0.9056603773584905,0.8199893727406867,48,1,9,RGB-origin
img1324,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.8493550212396944,28,2,6,RGB-origin
img1336,1.0,0.9230769230769231,0.9600000000000001,0.8657148417133603,24,0,2,RGB-origin
img135,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8453306566848908,21,1,1,RGB-origin
img1350,1.0,0.9387755102040817,0.968421052631579,0.8723063031310497,46,0,3,RGB-origin
img1354,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.8617872563750031,4,2,3,RGB-origin
img1358,0.984375,0.9402985074626866,0.9618320610687023,0.8496755462749894,63,1,4,RGB-origin
img1366,0.6666666666666666,0.7368421052631579,0.7,0.8632923052014839,14,7,5,RGB-origin
img1367,1.0,0.7692307692307693,0.8695652173913044,0.8483086929194845,10,0,3,RGB-origin
img137,0.0,0.0,0.0,0.0,0,0,0,RGB-origin
img1370,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.8240228662031782,14,1,3,RGB-origin
img1372,0.9142857142857143,0.8205128205128205,0.8648648648648648,0.8279682775317612,32,3,7,RGB-origin
img1377,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.8792352079390398,64,1,1,RGB-origin
img1378,0.94,0.94,0.94,0.8888150731307383,47,3,3,RGB-origin
img1382,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8835062500573223,34,5,5,RGB-origin
img1383,0.9230769230769231,0.8,0.8571428571428571,0.8387361484684965,36,3,9,RGB-origin
img1386,1.0,1.0,1.0,0.6302359313869156,2,0,0,RGB-origin
img1388,0.9298245614035088,0.8548387096774194,0.8907563025210085,0.8412994200672017,53,4,9,RGB-origin
img1391,0.9333333333333333,0.8936170212765957,0.9130434782608695,0.8577012841251045,42,3,5,RGB-origin
img1392,0.9285714285714286,0.8666666666666667,0.896551724137931,0.814342716776658,52,4,8,RGB-origin
img14,0.8936170212765957,0.8571428571428571,0.875,0.837055337744636,42,5,7,RGB-origin
img1406,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8138028322526395,19,3,3,RGB-origin
img1419,0.9833333333333333,0.9516129032258065,0.9672131147540983,0.8799980580032534,59,1,3,RGB-origin
img1442,0.9583333333333334,0.8518518518518519,0.9019607843137256,0.8579979258677671,23,1,4,RGB-origin
img1459,0.9803921568627451,0.9259259259259259,0.9523809523809523,0.8486591089661115,50,1,4,RGB-origin
img146,0.9230769230769231,0.8571428571428571,0.888888888888889,0.873907532035947,12,1,2,RGB-origin
img1460,0.9508196721311475,0.8787878787878788,0.9133858267716536,0.8451619449611911,58,3,8,RGB-origin
img1464,0.896551724137931,0.8387096774193549,0.8666666666666666,0.8213372159873973,26,3,5,RGB-origin
img1467,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8235692461385987,30,3,3,RGB-origin
img148,0.8333333333333334,0.625,0.7142857142857143,0.8464926321069063,15,3,9,RGB-origin
img1484,0.9444444444444444,0.8947368421052632,0.918918918918919,0.8751825793070392,34,2,4,RGB-origin
img1485,0.9666666666666667,0.90625,0.9354838709677419,0.8359076130835388,29,1,3,RGB-origin
img1510,1.0,1.0,1.0,0.7033724441750748,1,0,0,RGB-origin
img1511,0.9795918367346939,0.9056603773584906,0.9411764705882353,0.791278011155066,48,1,5,RGB-origin
img1513,0.8055555555555556,0.7073170731707317,0.7532467532467532,0.8427973551752004,29,7,12,RGB-origin
img1516,1.0,0.9607843137254902,0.98,0.8197565466859147,49,0,2,RGB-origin
img1519,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.8180552836927615,15,3,6,RGB-origin
img1524,1.0,0.9655172413793104,0.9824561403508771,0.8077205134357256,28,0,1,RGB-origin
img1529,1.0,0.9487179487179487,0.9736842105263158,0.8408397971283277,37,0,2,RGB-origin
img153,0.9682539682539683,0.9242424242424242,0.9457364341085271,0.8694235640506921,61,2,5,RGB-origin
img1535,0.9354838709677419,0.8787878787878788,0.90625,0.878639224079636,29,2,4,RGB-origin
img1536,0.8571428571428571,0.782608695652174,0.8181818181818182,0.8700724802508515,18,3,5,RGB-origin
img1539,0.9743589743589743,0.8837209302325582,0.9268292682926831,0.8602763113221032,38,1,5,RGB-origin
img1545,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.8793502411687146,37,2,5,RGB-origin
img1548,0.6296296296296297,0.6538461538461539,0.6415094339622641,0.7928097017469362,17,10,9,RGB-origin
img1553,0.6521739130434783,0.7142857142857143,0.6818181818181819,0.833067308263968,15,8,6,RGB-origin
