model,image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg
RGB-augment,img1002,0.0,0.0,0.0,0.0,0,3,0
RGB-augment,img1006,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.8753115982241748,16,1,5
RGB-augment,img1007,0.9354838709677419,0.8529411764705882,0.8923076923076922,0.8335182408774021,29,2,5
RGB-augment,img1015,0.95,0.926829268292683,0.9382716049382716,0.8266153166172194,38,2,3
RGB-augment,img1016,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.8329783864098785,41,1,2
RGB-augment,img1025,0.7777777777777778,0.4827586206896552,0.5957446808510638,0.8445337372829419,14,4,15
RGB-augment,img1038,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.8867527415650154,1,5,2
RGB-augment,img1041,0.9047619047619048,0.9743589743589743,0.9382716049382716,0.888577830453196,38,4,1
RGB-augment,img1042,0.851063829787234,0.8888888888888888,0.8695652173913044,0.8762607123927608,40,7,5
RGB-augment,img1051,0.95,0.9047619047619048,0.9268292682926829,0.8750980610344233,19,1,2
RGB-augment,img1061,0.8181818181818182,0.7875,0.8025477707006369,0.8204294886565368,63,14,17
RGB-augment,img1062,0.9016393442622951,0.7857142857142857,0.8396946564885497,0.8643533012948108,55,6,15
RGB-augment,img107,1.0,1.0,1.0,0.8849031172686599,20,0,0
RGB-augment,img1075,0.95,0.95,0.9500000000000001,0.8288918951135621,38,2,2
RGB-augment,img1082,0.9253731343283582,0.9117647058823529,0.9185185185185185,0.8308029236005702,62,5,6
RGB-augment,img1086,0.9459459459459459,0.9722222222222222,0.9589041095890412,0.8727306035111054,35,2,1
RGB-augment,img1090,0.8,0.7272727272727273,0.761904761904762,0.8381469152021498,16,4,6
RGB-augment,img1097,0.9347826086956522,0.9148936170212766,0.924731182795699,0.8522046039728477,43,3,4
RGB-augment,img1098,0.96,0.9411764705882353,0.9504950495049505,0.8824898993998662,48,2,3
RGB-augment,img1103,0.6666666666666666,1.0,0.8,0.8733439003018354,4,2,0
RGB-augment,img1104,0.9,0.9,0.9,0.8561728775588775,9,1,1
RGB-augment,img1105,0.9672131147540983,0.921875,0.944,0.8705327315433928,59,2,5
RGB-augment,img1107,0.9821428571428571,1.0,0.9909909909909909,0.8515846481698756,55,1,0
RGB-augment,img1111,0.8095238095238095,0.9444444444444444,0.8717948717948718,0.8318808845164283,17,4,1
RGB-augment,img1115,0.8,0.631578947368421,0.7058823529411765,0.8413582370394983,12,3,7
RGB-augment,img1117,0.782608695652174,0.7346938775510204,0.7578947368421053,0.8405042893655512,36,10,13
RGB-augment,img1118,0.9,0.782608695652174,0.8372093023255814,0.827715298966021,36,4,10
RGB-augment,img1119,0.7916666666666666,0.7307692307692307,0.76,0.8352983605801194,38,10,14
RGB-augment,img1124,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.8620436601452923,50,3,3
RGB-augment,img1126,0.9272727272727272,0.8225806451612904,0.8717948717948718,0.8757823707908035,51,4,11
RGB-augment,img1127,0.8070175438596491,0.7076923076923077,0.7540983606557378,0.8062713939060128,46,11,19
RGB-augment,img1129,0.875,0.84,0.8571428571428572,0.8519642253084567,21,3,4
RGB-augment,img113,0.9811320754716981,1.0,0.9904761904761905,0.86557559620666,52,1,0
